!Time	Flux	Flux_Error
0	1.764052345967664	0.038273243001226816
1	0.4001572083672233	0.003424228053195387
2	0.9787379841057392	0.10963468456657986
3	2.240893199201458	0.023421580134453654
4	1.8675579901499675	0.03474506524985633
5	-0.977277879876411	0.058126847686032525
6	0.9500884175255894	0.16326345262344955
7	-0.1513572082976979	0.15677677243084542
8	-0.10321885179355784	0.11791579306376879
9	0.41059850193837233	0.13014280716647608
10	0.144043571160878	0.089526027288993
11	1.454273506962975	0.137496406639299
12	0.7610377251469934	0.13322116545945017
13	0.12167501649282841	0.19686246897860205
14	0.44386323274542566	0.0660056320134083
15	0.33367432737426683	0.0175818953296028
16	1.4940790731576061	0.04986902749098275
17	-0.20515826376580087	0.10479721559680528
18	0.31306770165090136	0.028427967080721463
19	-0.8540957393017248	0.17426687806556312
20	-2.5529898158340787	0.02226056809483205
21	0.6536185954403606	0.09130792180417964
22	0.8644361988595057	0.16812182154944336
23	-0.7421650204064419	0.088897135809545
24	2.2697546239876076	0.024211796098512303
25	-1.4543656745987648	0.08887202573536308
26	0.04575851730144607	0.09367424635352573
27	-0.1871838500258336	0.1412327706037443
28	1.5327792143584575	0.2369586905226603
29	1.469358769900285	0.0864052300497648
30	0.1549474256969163	0.2239604058661737
31	0.37816251960217356	0.04014990550902875
32	-0.8877857476301128	0.12248705641936597
33	-1.980796468223927	0.006485610634357618
34	-0.3479121493261526	0.12796891732042395
35	0.15634896910398005	0.05854312042777726
36	1.2302906807277207	0.026164544571090072
37	1.2023798487844113	0.018224478378994293
38	-0.3873268174079523	0.020289684076666707
39	-0.30230275057533557	0.01098827793093138
40	-1.0485529650670926	0.02134800489101689
41	-1.4200179371789752	0.12085736537332213
42	-1.7062701906250126	0.02420198298702195
43	1.9507753952317897	0.15182611703557056
44	-0.5096521817516535	0.03846454231425178
45	-0.4380743016111864	0.04438360931551978
46	-1.2527953600499262	0.10781973037142378
47	0.7774903558319101	0.25591846663440965
48	-1.6138978475579515	0.1181378601288286
49	-0.2127402802139687	0.06319037580051673
50	-0.8954665611936756	0.016392857245258664
51	0.386902497859262	0.009632135592119683
52	-0.510805137568873	0.09424681192203938
53	-1.180632184122412	0.02675947462353477
54	-0.028182228338654868	0.06780257815644504
55	0.42833187053041766	0.12978457906510987
56	0.06651722238316789	0.23641738171411802
57	0.3024718977397814	0.002033418170524325
58	-0.6343220936809636	0.13479254226291204
