!Time	Flux	Flux_Errors
0.0	1.1358416258472643	0.1
0.10101010101010101	0.9741690507523554	0.1
0.20202020202020202	0.9987593821599294	0.1
0.30303030303030304	1.123951345890509	0.1
0.40404040404040403	0.9415088395001677	0.1
0.5050505050505051	1.176893112311695	0.1
0.6060606060606061	1.0723654038645511	0.1
0.7070707070707071	0.8853378409207515	0.1
0.8080808080808081	1.0237747521822804	0.1
0.9090909090909091	1.0027383743962077	0.1
1.0101010101010102	1.0402514478063825	0.1
1.1111111111111112	1.3880468478477774	0.1
1.2121212121212122	0.9730396316297181	0.1
1.3131313131313131	1.2054186886542935	0.1
1.4141414141414141	1.0600539507825402	0.1
1.5151515151515151	0.9878243923877394	0.1
1.6161616161616161	1.0793671077737073	0.1
1.7171717171717171	1.01313682680652	0.1
1.8181818181818181	1.1649833538018415	0.1
1.9191919191919191	1.0129535404960408	0.1
2.0202020202020203	1.0483445205593585	0.1
2.121212121212121	1.0628383850684786	0.1
2.2222222222222223	1.0818697435709816	0.1
2.323232323232323	0.9413870528592645	0.1
2.4242424242424243	1.0973340114448866	0.1
2.525252525252525	1.14544544797039	0.1
2.6262626262626263	0.9346980985688073	0.1
2.727272727272727	1.0207411677401979	0.1
2.8282828282828283	1.1688935857316782	0.1
2.929292929292929	1.0159488045925233	0.1
3.0303030303030303	1.2336661592174296	0.1
3.131313131313131	1.1313315909880421	0.1
3.2323232323232323	1.1574524600136444	0.1
3.3333333333333335	1.0242975474143634	0.1
3.4343434343434343	1.2549748721112566	0.1
3.5353535353535355	1.1794236534826705	0.1
3.6363636363636362	1.162641248957965	0.1
3.7373737373737375	1.1453512117953644	0.1
3.8383838383838382	1.2157976831624464	0.1
3.9393939393939394	1.2357479727983858	0.1
4.040404040404041	1.1967338389676454	0.1
4.141414141414141	1.2504840445908387	0.1
4.242424242424242	1.2562106373715338	0.1
4.343434343434343	1.1670395982877277	0.1
4.444444444444445	1.245856299343549	0.1
4.545454545454545	1.392930190707491	0.1
4.646464646464646	1.3064454759985662	0.1
4.747474747474747	1.2612269607547137	0.1
4.848484848484849	1.1900962845662753	0.1
4.94949494949495	1.165277385190635	0.1
5.05050505050505	1.4876248062712125	0.1
5.151515151515151	1.4043817262966949	0.1
5.252525252525253	1.084178901356734	0.1
5.353535353535354	1.1371812171024258	0.1
5.454545454545454	1.2374060336230652	0.1
5.555555555555555	1.2344685575918999	0.1
5.656565656565657	1.1308587953032285	0.1
5.757575757575758	1.3472657562077028	0.1
5.858585858585858	1.2185144881140832	0.1
5.959595959595959	1.3940283324013838	0.1
6.0606060606060606	1.2120573777153825	0.1
6.161616161616162	1.2191393107064148	0.1
6.262626262626262	1.2852639674791442	0.1
6.363636363636363	1.3472974020518655	0.1
6.4646464646464645	1.3456291841968544	0.1
6.565656565656566	1.271917758371236	0.1
6.666666666666667	1.343159757326699	0.1
6.767676767676767	1.372621329420137	0.1
6.8686868686868685	1.1470740869779517	0.1
6.96969696969697	1.349194309482756	0.1
7.070707070707071	1.352216678001085	0.1
7.171717171717171	1.2000966870990555	0.1
7.2727272727272725	1.2855128572433043	0.1
7.373737373737374	1.3682198955931013	0.1
7.474747474747475	1.1861332128335138	0.1
7.575757575757575	1.4036945164025736	0.1
7.6767676767676765	1.332708657013718	0.1
7.777777777777778	1.4897325696539188	0.1
7.878787878787879	1.3592180477644906	0.1
7.979797979797979	1.4384107367252486	0.1
8.080808080808081	1.4076217678084093	0.1
8.181818181818182	1.3915458756781658	0.1
8.282828282828282	1.3895082811898223	0.1
8.383838383838384	1.5269313683828325	0.1
8.484848484848484	1.2485144321742054	0.1
8.585858585858587	1.4549422732486046	0.1
8.686868686868687	1.4614892713364696	0.1
8.787878787878787	1.4039098302817692	0.1
8.88888888888889	1.3489740954293086	0.1
8.98989898989899	1.6074953765965483	0.1
9.09090909090909	1.4998423851910967	0.1
9.191919191919192	1.5168012269254285	0.1
9.292929292929292	1.517648776010871	0.1
9.393939393939394	1.3875940252803003	0.1
9.494949494949495	1.4525320674230147	0.1
9.595959595959595	1.3944702382643412	0.1
9.696969696969697	1.597982374554152	0.1
9.797979797979798	1.3530891839155712	0.1
9.8989898989899	1.3957953788785997	0.1
10.0	1.527252881072654	0.1
